event_name,event_date,fighter_red,fighter_blue,red_open,blue_open,red_close_low,red_close_high,blue_close_low,blue_close_high,red_open_decimal,blue_open_decimal,red_bfo_url,blue_bfo_url,bfo_event_date,bfo_event_url,match_status
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Robert Whittaker,Reinier de Ridder,-196,+152,-150,-150,+136,+136,1.510204081632653,2.52,https://www.bestfightodds.com/fighters/Robert-Whittaker-3761,https://www.bestfightodds.com/fighters/Reinier-de-Ridder-8891,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Petr Yan,Marcus McGhee,-400,+285,-350,-350,+300,+300,1.25,3.85,https://www.bestfightodds.com/fighters/Petr-Yan-7578,https://www.bestfightodds.com/fighters/Marcus-McGhee-14050,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,,Shara Magomedov,Marc-Andre Barriault,,,,,,,,,https://www.bestfightodds.com/fighters/Shara-Magomedov-17740,https://www.bestfightodds.com/fighters/Marc-Andre-Barriault-8960,,,no_match
UFC Fight Night: Whittaker vs. De Ridder,,Asu Almabayev,Ramazan Temirov,,,,,,,,,https://www.bestfightodds.com/fighters/Asu-Almabayev-16167,https://www.bestfightodds.com/fighters/Ramazan-Temirov-18532,,,no_match
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Nikita Krylov,Bogdan Guskov,-205,+160,-190,-190,+164,+164,1.4878048780487805,2.6,https://www.bestfightodds.com/fighters/Nikita-Krylov-4188,https://www.bestfightodds.com/fighters/Bogdan-Guskov-16384,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Bryce Mitchell,Said Nurmagomedov,-143,+112,-138,-138,+130,+130,1.6993006993006992,2.12,https://www.bestfightodds.com/fighters/Bryce-Mitchell-6135,https://www.bestfightodds.com/fighters/Said-Nurmagomedov-8192,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,,Muslim Salikhov,Carlos Leal,,,,,,,,,https://www.bestfightodds.com/fighters/Muslim-Salikhov-7701,https://www.bestfightodds.com/fighters/Carlos-Leal-Miranda-7744,,,no_match
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Davey Grant,Da'Mon Blackshear,+275,-375,+310,+310,-320,-320,3.75,1.2666666666666666,https://www.bestfightodds.com/fighters/Davey-Grant-4074,https://www.bestfightodds.com/fighters/Da-mon-Blackshear-8471,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Amanda Ribas,Tabatha Ricci,-186,+148,-175,-175,+155,+155,1.5376344086021505,2.48,https://www.bestfightodds.com/fighters/Amanda-Ribas-7245,https://www.bestfightodds.com/fighters/Tabatha-Ricci-10312,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Ibo Aslan,Billy Elekana,-278,+210,-278,-278,+235,+235,1.3597122302158273,3.1,https://www.bestfightodds.com/fighters/Ibo-Aslan-16319,https://www.bestfightodds.com/fighters/Billy-Elekana-12954,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Mohammad Yahya,Steven Nguyen,+295,-420,+300,+300,-320,-320,3.95,1.2380952380952381,https://www.bestfightodds.com/fighters/Mohammad-Yahya-7764,https://www.bestfightodds.com/fighters/Steven-Nguyen-9291,2025-07-26,,matched
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Martin Buday,Marcus Buchecha,+230,-315,+220,+220,-250,-250,3.3,1.3174603174603174,https://www.bestfightodds.com/fighters/Martin-Buday-11489,https://www.bestfightodds.com/fighters/Marcus-Buchecha-14323,2025-07-26,,matched
UFC 318: Holloway vs. Poirier 3,2025-07-20,Max Holloway,Dustin Poirier,-130,+110,-110,-110,-102,-102,1.7692307692307692,2.1,https://www.bestfightodds.com/fighters/Max-Holloway-3090,https://www.bestfightodds.com/fighters/Dustin-Poirier-2034,2025-07-20,,matched
UFC 318: Holloway vs. Poirier 3,,Paulo Costa,Roman Kopylov,,,,,,,,,https://www.bestfightodds.com/fighters/Paulo-Costa-7991,https://www.bestfightodds.com/fighters/Roman-Kopylov-7343,,,no_match
UFC 318: Holloway vs. Poirier 3,2022-09-10,Daniel Rodriguez,Kevin Holland,+180,-225,+165,+165,-200,-200,2.8,1.4444444444444444,https://www.bestfightodds.com/fighters/Daniel-Rodriguez-6856,https://www.bestfightodds.com/fighters/Kevin-Holland-5910,2022-09-10,,matched
UFC 318: Holloway vs. Poirier 3,,Patricio Freire,Dan Ige,,,,,,,,,https://www.bestfightodds.com/fighters/Patricio-Freire-1754,https://www.bestfightodds.com/fighters/Dan-Ige-6448,,,no_match
UFC 318: Holloway vs. Poirier 3,,Michael Johnson,Daniel Zellhuber,,,,,,,,,https://www.bestfightodds.com/fighters/Michael-Johnson-2219,https://www.bestfightodds.com/fighters/Daniel-Zellhuber-9200,,,no_match
UFC 318: Holloway vs. Poirier 3,,Vinicius Oliveira,Kyler Phillips,,,,,,,,,https://www.bestfightodds.com/fighters/Vinicius-Oliveira-16540,https://www.bestfightodds.com/fighters/Kyler-Phillips-7228,,,no_match
UFC 318: Holloway vs. Poirier 3,2025-07-20,Brendan Allen,Marvin Vettori,-275,+200,-265,-265,+200,+200,1.3636363636363638,3.0,https://www.bestfightodds.com/fighters/Brendan-Allen-6203,https://www.bestfightodds.com/fighters/Marvin-Vettori-6541,2025-07-20,,matched
UFC 318: Holloway vs. Poirier 3,,Nikolay Veretennikov,Francisco Prado,,,,,,,,,https://www.bestfightodds.com/fighters/Nikolay-Veretennikov-7722,https://www.bestfightodds.com/fighters/Francisco-Prado-15049,,,no_match
UFC 318: Holloway vs. Poirier 3,2025-07-12,Ateba Gautier,Robert Valentin,-350,+240,-350,-350,+240,+240,1.2857142857142856,3.4,https://www.bestfightodds.com/fighters/Ateba-Gautier-18421,https://www.bestfightodds.com/fighters/Robert-Valentin-13471,2025-07-12,,matched
UFC 318: Holloway vs. Poirier 3,2025-07-20,Islam Dulatov,Adam Fugitt,-450,+300,-460,-460,+390,+390,1.2222222222222223,4.0,https://www.bestfightodds.com/fighters/Islam-Dulatov-14955,https://www.bestfightodds.com/fighters/Adam-Fugitt-8646,2025-07-20,,matched
UFC 318: Holloway vs. Poirier 3,,Jimmy Crute,Marcin Prachnio,,,,,,,,,https://www.bestfightodds.com/fighters/Jimmy-Crute-9838,https://www.bestfightodds.com/fighters/Marcin-Prachnio-6346,,,no_match
UFC 318: Holloway vs. Poirier 3,,Ryan Spann,Lukasz Brzeski,,,,,,,,,https://www.bestfightodds.com/fighters/Ryan-Spann-3502,https://www.bestfightodds.com/fighters/Lukasz-Brzeski-10059,,,no_match
UFC 318: Holloway vs. Poirier 3,,Brunno Ferreira,Jackson McVey,,,,,,,,,https://www.bestfightodds.com/fighters/Brunno-Ferreira-14404,https://www.bestfightodds.com/fighters/Jackson-McVey-15053,,,no_match
UFC 318: Holloway vs. Poirier 3,,Carli Judice,Nicolle Caliari,,,,,,,,,https://www.bestfightodds.com/fighters/Carli-Judice-16539,https://www.bestfightodds.com/fighters/Nicolle-Caliari-9542,,,no_match
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Derrick Lewis,Tallison Teixeira,+175,-250,+210,+210,-245,-245,2.75,1.4,https://www.bestfightodds.com/fighters/Derrick-Lewis-2610,https://www.bestfightodds.com/fighters/Tallison-Teixeira-18424,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Gabriel Bonfim,Stephen Thompson,-400,+310,-400,-400,+333,+333,1.25,4.1,https://www.bestfightodds.com/fighters/Gabriel-Bonfim-11752,https://www.bestfightodds.com/fighters/Stephen-Thompson-3092,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Steve Garcia,Calvin Kattar,-150,+110,-135,-135,+120,+120,1.6666666666666665,2.1,https://www.bestfightodds.com/fighters/Steve-Garcia-2576,https://www.bestfightodds.com/fighters/Calvin-Kattar-717,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Morgan Charriere,Nate Landwehr,-230,+190,-240,-240,+210,+210,1.434782608695652,2.9,https://www.bestfightodds.com/fighters/Morgan-Charriere-8980,https://www.bestfightodds.com/fighters/Nate-Landwehr-3413,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Vitor Petrino,Austen Lane,-400,+275,-649,-649,+460,+460,1.25,3.75,https://www.bestfightodds.com/fighters/Vitor-Petrino-14346,https://www.bestfightodds.com/fighters/Austen-Lane-8254,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-13,Tuco Tokkos,Junior Tafa,+120,-163,+150,+150,-163,-163,2.2,1.6134969325153374,https://www.bestfightodds.com/fighters/Tuco-Tokkos-17649,https://www.bestfightodds.com/fighters/Junior-Tafa-14832,2025-07-13,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Chris Curtis,Max Griffin,-275,+200,-305,-305,+250,+250,1.3636363636363638,3.0,https://www.bestfightodds.com/fighters/Chris-Curtis-6020,https://www.bestfightodds.com/fighters/Max-Griffin-6581,2025-07-12,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Jake Matthews,Chidi Njokuani,+105,-138,-104,-104,-115,-115,2.05,1.7246376811594204,https://www.bestfightodds.com/fighters/Jake-Matthews-4978,https://www.bestfightodds.com/fighters/Chidi-Njokuani-2452,2025-07-12,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Eduarda Moura,Lauren Murphy,-350,+240,-600,-600,+460,+460,1.2857142857142856,3.4,https://www.bestfightodds.com/fighters/Eduarda-Moura-16318,https://www.bestfightodds.com/fighters/Lauren-Murphy-4580,2025-07-12,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Valter Walker,Kennedy Nzechukwu,+180,-220,+200,+200,-225,-225,2.8,1.4545454545454546,https://www.bestfightodds.com/fighters/Valter-Walker-17371,https://www.bestfightodds.com/fighters/Kennedy-Nzechukwu-7454,2025-07-12,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Mike Davis,Mitch Ramirez,-900,+600,-900,-900,+650,+650,1.1111111111111112,7.0,https://www.bestfightodds.com/fighters/Mike-Davis-8423,https://www.bestfightodds.com/fighters/Mitch-Ramirez-15736,2025-07-12,,matched
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Fatima Kline,Melissa Martinez,-800,+450,-1100,-1100,+750,+750,1.125,5.5,https://www.bestfightodds.com/fighters/Fatima-Kline-11138,https://www.bestfightodds.com/fighters/Melissa-Martinez-7705,2025-07-12,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Ilia Topuria,Charles Oliveira,-295,+220,-400,-400,+330,+330,1.3389830508474576,3.2,https://www.bestfightodds.com/fighters/Ilia-Topuria-8322,https://www.bestfightodds.com/fighters/Charles-Oliveira-1893,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Alexandre Pantoja,Kai Kara-France,-215,+164,-245,-245,+225,+225,1.4651162790697674,2.6399999999999997,https://www.bestfightodds.com/fighters/Alexandre-Pantoja-5118,https://www.bestfightodds.com/fighters/Kai-Kara-France-8800,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Joshua Van,Brandon Royval,-125,+105,+105,+105,+180,+180,1.8,2.05,https://www.bestfightodds.com/fighters/Joshua-van-14745,https://www.bestfightodds.com/fighters/Brandon-Royval-7031,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Beneil Dariush,Renato Moicano,+133,-167,+136,+136,-104,-104,2.33,1.5988023952095807,https://www.bestfightodds.com/fighters/Beneil-Dariush-4633,https://www.bestfightodds.com/fighters/Renato-Moicano-5598,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Payton Talbott,Felipe Lima,+125,-162,+146,+146,-150,-150,2.25,1.617283950617284,https://www.bestfightodds.com/fighters/Payton-Talbott-15422,https://www.bestfightodds.com/fighters/Felipe-Lima-10819,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Gregory Rodrigues,Jack Hermansson,-198,+164,-192,-192,+195,+195,1.5050505050505052,2.6399999999999997,https://www.bestfightodds.com/fighters/Gregory-Rodrigues-6917,https://www.bestfightodds.com/fighters/Jack-Hermansson-2474,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Jose Delgado,Hyder Amil,-132,+105,-125,-125,+116,+116,1.7575757575757576,2.05,https://www.bestfightodds.com/fighters/Jose-Delgado-18000,https://www.bestfightodds.com/fighters/Hyder-Amil-8178,2025-06-29,,matched
UFC 317: Topuria vs. Oliveira,2025-06-29,Tracy Cortez,Viviane Araujo,-185,+154,-210,-210,+185,+185,1.5405405405405406,2.54,https://www.bestfightodds.com/fighters/Tracy-Cortez-7427,https://www.bestfightodds.com/fighters/Viviane-Araujo-9155,2025-06-29,,matched
