event_name,event_date,fighter_red,fighter_blue,red_open,blue_open,red_close_low,red_close_high,blue_close_low,blue_close_high,red_open_decimal,blue_open_decimal,red_bfo_url,blue_bfo_url,bfo_event_date,bfo_event_url,match_status,odds_source,scraped_at_utc
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Islam Makhachev,Ian Machado Garry,-400,+330,-330,-330,+280,+280,1.25,4.3,https://www.bestfightodds.com/fighters/islam-makhachev-5541,https://www.bestfightodds.com/fighters/ian-machado-garry-15690,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:23.692754+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Mackenzie Dern,Gillian Robertson,-211,+181,-188,-188,+203,+203,1.4739336492890995,2.81,https://www.bestfightodds.com/fighters/mackenzie-dern-6488,https://www.bestfightodds.com/fighters/gillian-robertson-7784,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:24.376233+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Jalin Turner,Kaue Fernandes,-200,+174,-112,-112,+104,+104,1.5,2.74,https://www.bestfightodds.com/fighters/jalin-turner-6854,https://www.bestfightodds.com/fighters/kaue-fernandes-11734,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:25.044092+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Mansur Abdul-Malik,Dustin Stoltzfus,-650,+476,-649,-649,+550,+550,1.1538461538461537,5.76,https://www.bestfightodds.com/fighters/mansur-abdul-malik-12720,https://www.bestfightodds.com/fighters/dustin-stoltzfus-10214,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:25.707553+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Edson Barboza,Esteban Ribovics,+245,-300,+561,+561,-649,-649,3.45,1.3333333333333333,https://www.bestfightodds.com/fighters/edson-barboza-2099,https://www.bestfightodds.com/fighters/esteban-ribovics-14245,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:26.452703+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Chidi Njokuani,Joel Alvarez,+245,-300,+300,+300,-333,-333,3.45,1.3333333333333333,https://www.bestfightodds.com/fighters/chidi-njokuani-2452,https://www.bestfightodds.com/fighters/joel-alvarez-8910,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:27.128105+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Charles Johnson,Eduardo Chapolin,,,,,,,,,https://www.bestfightodds.com/fighters/charles-johnson-7494,https://www.bestfightodds.com/fighters/eduardo-chapolin-19784,,,no_match,BestFightOdds,2026-08-17T07:46:28.472127+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Donte Johnson,Eric McConico,-225,+189,-300,-300,+290,+290,1.4444444444444444,2.8899999999999997,https://www.bestfightodds.com/fighters/donte-johnson-19752,https://www.bestfightodds.com/fighters/eric-mcconico-15806,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:29.130424+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Vicente Luque,Tresean Gore,-110,-110,-105,-105,-110,-110,1.9090909090909092,1.9090909090909092,https://www.bestfightodds.com/fighters/vicente-luque-5744,https://www.bestfightodds.com/fighters/tresean-gore-12266,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:29.893960+00:00
UFC 330: Makhachev vs. Machado Garry,2026-08-15,Rafael Tobias,Lucas Fernando,+177,-205,+250,+250,-275,-275,2.77,1.4878048780487805,https://www.bestfightodds.com/fighters/rafael-tobias-16116,https://www.bestfightodds.com/fighters/lucas-fernando-11739,2026-08-15,,matched,BestFightOdds,2026-08-17T07:46:30.556316+00:00
