first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,profile_url,dob
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,"Jul 13, 1978"
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,http://ufcstats.com/fighter-details/15df64c02b6b0fde,"Jul 03, 1983"
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,http://ufcstats.com/fighter-details/59a9d6dac61c2540,"Feb 01, 1994"
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,http://ufcstats.com/fighter-details/b361180739bed4b0,"Apr 26, 1965"
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,1,0,,http://ufcstats.com/fighter-details/3329d692aea4dc28,"Jan 22, 1993"
Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,8,0,1,,http://ufcstats.com/fighter-details/841695e02c99a521,"Oct 07, 1997"
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,"Sep 02, 1981"
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,http://ufcstats.com/fighter-details/c0ed7b208197e8de,
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/5140122c3eecd307,"Nov 27, 1991"
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,http://ufcstats.com/fighter-details/c9f6385af6df66d7,"Jun 30, 1978"
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,"Apr 27, 1984"
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,http://ufcstats.com/fighter-details/7279654c7674cd24,"Dec 24, 1992"
Cyborg,Abreu,,--,--,--,,0,0,0,,http://ufcstats.com/fighter-details/f689bd7bbd14b392,"Dec 20, 1980"
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,http://ufcstats.com/fighter-details/1c5879330d42255f,"Dec 27, 1977"
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/989b85f6540c86b1,"Jun 22, 1991"
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,http://ufcstats.com/fighter-details/83b00f7597e5ac83,"Jan 16, 1992"
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,http://ufcstats.com/fighter-details/a77633a989013265,"Jan 13, 1988"
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,"Jul 29, 1992"
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,5,0,,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"Jul 22, 1989"
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,http://ufcstats.com/fighter-details/0e9869d712e81f8f,"Apr 26, 1965"
Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1,0,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8,"May 03, 2000"
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,"Jan 13, 1979"
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,"Apr 07, 1997"
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,,http://ufcstats.com/fighter-details/26f4288e83188c61,"Feb 16, 1992"
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,http://ufcstats.com/fighter-details/44aa652b181bcf68,
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,http://ufcstats.com/fighter-details/501821d7fb7b95c1,"Feb 10, 1988"
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/8f382b3baa954d2a,"May 08, 1982"
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,http://ufcstats.com/fighter-details/cf946e03ba2e7666,"Sep 07, 1988"
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,11,3,0,,http://ufcstats.com/fighter-details/c051c2e12d692b8a,"Mar 13, 1996"
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,"Nov 25, 1991"
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,"Jan 15, 1996"
,Agulali,,"5' 9""",125 lbs.,"67.0""",Switch,13,1,0,,http://ufcstats.com/fighter-details/b2efa582adf73604,"Apr 07, 2005"
Ahejiang,Ailinuer,,--,145 lbs.,--,,15,3,0,,http://ufcstats.com/fighter-details/ff584c17bccbae0b,
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,,http://ufcstats.com/fighter-details/49dea784f6cfed71,"Jun 19, 1994"
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,http://ufcstats.com/fighter-details/2eada40ac8801559,"Jul 27, 1974"
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,,http://ufcstats.com/fighter-details/16690d100f995f8f,"Oct 12, 1987"
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/b0550072e5f0afa7,"Jul 29, 1975"
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,"Dec 19, 1991"
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,"May 14, 1982"
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,,http://ufcstats.com/fighter-details/597499ac7a5aac62,"Apr 10, 1995"
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,http://ufcstats.com/fighter-details/1cf1310684a841f5,"Jul 14, 1973"
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,http://ufcstats.com/fighter-details/7578cc6bd750206b,"Jun 07, 1991"
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,http://ufcstats.com/fighter-details/2144954270be834d,
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,10,2,,http://ufcstats.com/fighter-details/1897b7b913736a7c,"Dec 14, 1991"
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,2,0,,http://ufcstats.com/fighter-details/6d35bf94f7d30241,"Oct 27, 1993"
Brett,Albee,,--,225 lbs.,--,,3,2,0,,http://ufcstats.com/fighter-details/9b28292abe3166d5,
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,"Oct 13, 1986"
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/c482c8605455a213,"Mar 15, 1991"
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/184b955181bdef52,
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,"Jul 14, 1990"
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,http://ufcstats.com/fighter-details/dd1b90eea08887f6,
Juan,Alcain,,--,--,--,,1,2,0,,http://ufcstats.com/fighter-details/39f62b833e4cf126,
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,"Aug 04, 1980"
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,http://ufcstats.com/fighter-details/7c6e87729e824ef4,"Nov 18, 1982"
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,http://ufcstats.com/fighter-details/1e38bba6738b7b10,"Jun 10, 1970"
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,http://ufcstats.com/fighter-details/d26934530dc5b248,"Aug 25, 1977"
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0,,http://ufcstats.com/fighter-details/578ef12674df1e6a,"Mar 26, 1988"
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,http://ufcstats.com/fighter-details/c487223b0289bda9,"Aug 17, 1988"
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,,http://ufcstats.com/fighter-details/7460ddef986d3144,"Sep 14, 1991"
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,10,0,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,"Sep 09, 1986"
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,14,7,0,,http://ufcstats.com/fighter-details/6fd953151d981979,"Sep 29, 1992"
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,3,0,,http://ufcstats.com/fighter-details/103e2e33a60683e1,"Jun 27, 1990"
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,6,1,1,,http://ufcstats.com/fighter-details/d35298b6df168456,"Oct 17, 1990"
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,http://ufcstats.com/fighter-details/fe5a9547479396ab,"Oct 14, 1986"
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,"Jul 05, 1979"
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,http://ufcstats.com/fighter-details/0541480fbf719d86,"Mar 22, 1972"
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,"Sep 25, 1977"
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/11583163f45c7b31,"Jul 28, 1995"
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,http://ufcstats.com/fighter-details/d53482bef23235ba,"May 05, 1989"
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,http://ufcstats.com/fighter-details/b757c73f443d4fca,"Aug 06, 1974"
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,"May 09, 1983"
Levi,Alford,,--,--,--,,1,7,0,,http://ufcstats.com/fighter-details/41b34b7f11f6d085,
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0,,http://ufcstats.com/fighter-details/9abc648e76c4493a,"Jun 09, 1989"
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,http://ufcstats.com/fighter-details/669a3cb6e394f515,
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,http://ufcstats.com/fighter-details/e17770faae3ca54c,"Jun 10, 1984"
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/e70de1859b7ee78e,"Sep 17, 1984"
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,10,0,0,,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,"Dec 08, 2000"
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,16,2,0,,http://ufcstats.com/fighter-details/b07aed698fba8624,"Dec 07, 1992"
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,http://ufcstats.com/fighter-details/6db394bf6c3b017c,"Jul 14, 1989"
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,http://ufcstats.com/fighter-details/6ebe96a116e79e52,"Feb 22, 1993"
