event_name,fighter_red,fighter_blue,result,winner,kd_red,kd_blue,str_red,str_blue,td_red,td_blue,sub_red,sub_blue,weight_class,method,round,time,fight_link
UFC 330: Makhachev vs. Machado Garry,Islam Makhachev,Ian Machado Garry,scheduled,,,,,,View,Matchup,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern,Gillian Robertson,scheduled,,,,,,View Matchup,,,,Women's Strawweight,,,,
UFC 330: Makhachev vs. Machado Garry,Jalin Turner,Kaue Fernandes,scheduled,,,,,,View Matchup,,,,Lightweight,,,,
UFC 330: Makhachev vs. Machado Garry,Mansur Abdul-Malik,Dustin Stoltzfus,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Edson Barboza,Esteban Ribovics,scheduled,,,,,,View Matchup,,,,Lightweight,,,,
UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani,Joel Alvarez,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Charles Johnson,Eduardo Chapolin,scheduled,,,,,,View Matchup,,,,Catch Weight,,,,
UFC 330: Makhachev vs. Machado Garry,Donte Johnson,Eric McConico,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Vicente Luque,Tresean Gore,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Rafael Tobias,Lucas Fernando,scheduled,,,,,,View Matchup,,,,Light Heavyweight,,,,
UFC 330: Makhachev vs. Machado Garry,Neil Magny,Ramiz Brahimaj,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Jeremiah Wells,Myktybek Orolbai,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC Fight Night: Gamrot vs. Salkilld,Quillan Salkilld,Mateusz Gamrot,win,Quillan Salkilld,0,0,10,3,1,0,1,2,Lightweight,SUB Rear Naked Choke,1,4:25,http://ufcstats.com/fight-details/a10deecfb8558335
UFC Fight Night: Gamrot vs. Salkilld,Diego Ferreira,Billy Quarantillo,win,Diego Ferreira,0,0,116,73,4,1,0,0,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d5245f5b96b8afdf
